taxon,isocode,glottocode,xd_ids,soc_ids
DYANGADI,,dyan1250,,
NGANYAYWANA,,ngan1296,,
NGUNAWAL,,ngun1277,,
GANDANGARA,,,,
JIRINGAYN,,,,
THAWA,,,,
NGARIGU,,ngar1297,,
OMEO,,,,
CAMBERRA_LANGUAGE,,,,
GUYAMBAL,,,,
BIGAMBAL,,,,
YUGAMBAL,,yuga1244,,
MADIMADI,,madh1244,,
MADHI_MADHI,,madh1244,,
DJADJALA,,,,
WEMBA_WEMBA,,wemb1241,,
WEMBAWEMBA,,wemb1241,,
BIRRDHAWAL,,,,
YORTA_YORTA,,yort1237,,
DHUDHUROA,,,,
PALLANGANMIDDANG,,,,
BUNGANDITJ,,birr1241,,
WARRNAMBOOL,,,,
COLAC,,,,
WATHAWURRUNG,,wath1238,,
WOIWURRUNG,,woiw1237,xd978,B134
GUMBAYNGGIR,,kumb1268,,
YAYGIR,,,,
GURENG_GURENG,,gure1255,,
DUUNGIDJAWU,,waka1274,xd961,B114
WULIWULI,,wuli1242,,
WANGAAYBUWAN_NGIYAMBAA,,wang1291,xd784,"B130, Id9"
GAMILARAAY,,gami1243,xd970,B125
WIRADHURI,,wira1262,,
BARRANBIYA,,,,
MURUWARI,,muru1266,,
GIDABAL,,midd1357,xd966,B119
WAALUBAL,,midd1357,xd966,B119
DHURGA,,dhur1239,,
THURAWAL,,thur1254,,
SYDNEY,,sydn1236,,
AWABAKAL,,awab1243,,
WORIMI,,wori1245,,
KERAMIN,,,,
YITHA_YITHA,,,,
KALKUTUNG,,kalk1246,,
YALARNNGA,,yala1262,,
MAYAGUDUNA,,maya1280,,
MAYKULAN,,mayi1236,,
NGAWUN,,ngaw1240,,
MAYI_YAPI,,mayi1235,,
MAYI_THAKURTI,,mayi1234,,
MBABARAM,,mbab1239,,
KANJU,,kanj1260,,
KUUKU_YAU,,kuuk1238,,
WIK_MUNGKAN,,wikm1247,xd781,"B90, Id6"
KUKU_UWANH,,kuku1280,,
YIR_YORONT,,jirj1239,xd775,"B94, Id12"
THAYORE,,thay1249,,
KUNJEN,,kunj1245,,
AGHU_THARRNGGALA,,aghu1256,,
LENINGITIJ,,leni1238,,
LINNGITHIGH,,leni1238,,
MPAKWITHI_ANGUTHIMRI,,leni1238,,
UMBUYKAMU,,umbu1256,,
PARIMANKUTINMA,,mbar1253,,
LAMALAMA_COASTAL,,lamu1254,,
LAMALAMA_INLAND,,lamu1254,,
MALYANGAPA,,maly1234,,
DARLING,,darl1243,xd973,B128
BADJIRRI,,badj1244,,
PUNTHAMARA,,punt1240,,
PITTA_PITTA,,pitt1247,,
ARABANA,,arab1267,,
WANGGANGURU,,wang1290,,
YANDRUWANDHA,,yand1253,,
DIYARI,,dier1241,xd779,"B121, Id4"
NGAMINI,,ngam1265,,
KOKATA,,koka1244,,
MARTU_WANGKA,,mart1256,xd958,B111
MANTJILTJARA,,mart1256,xd958,B111
YULPARIJA,,mart1256,xd958,B111
PINTUPI,,pint1250,xd960,B113
NGAANYATJARRA,,ngaa1240,xd965,B118
WANGKA_WIRU,,pitj1243,"xd967, xd971","B120, B126"
PITJANTJATJARA_YANKUNTJATJARA,,yank1247,xd969,B123
KARADJERI,,kara1476,xd953,B104
NYANGUMARTA,,nyan1301,,
WARUMUNGU,,waru1265,,
WARLPIRI,,warl1254,xd773,"B109, Id10"
WALMAJARRI,,walm1241,,
JARU,,jaru1254,xd956,B108
GURINDJI,,guri1247,,
NGARINMAN_BILINARA,,ngar1235,,
NHANDA,,nhan1238,,
BADIMAYA,,badi1246,,
WAJARRI,,waja1257,,
NGADJUNMAYA,,ngad1258,xd976,B132
NYOONGAR,,nyun1247,,
NYUNGA_NORTHERN,,nyun1247,,
NYUNGA_SOUTH_WESTERN,,nyun1247,,
NYUNGA_EASTERN,,nyun1247,,
DHARGARI,,dhar1247,,
MARTUTHUNIRA,,mart1255,,
PANYTYIMA,,pany1241,,
NGALOOMA,,ngar1287,,
KURRAMA,,kurr1243,,
YINDJIBARNDI,,yind1247,,
WIRANGU,,wira1265,,
KAURNA,,kaur1267,xd974,B129
NARUNGGA,,naru1238,,
NUGUNU_AUSTRALIA,,nugu1241,,
ADNYAMATHANHA,,adny1235,,
BANGGARLA,,bang1339,,
KAYTETYE,,kayt1238,,
KAYTETYE_2,,kayt1238,,
WESTERN_ARRERNTE,,west2441,,
