Vars	Value_cfx
sino1245 - atla1278	0.25287135830446533
aust1307 - atla1278	0.23775238406263688
afro1255 - atla1278	0.1614562747333788
nucl1709 - atla1278	0.4915042603645112
aust1305 - atla1278	0.27196256375168293
otom1299 - atla1278	0.6319514693784539
indo1319 - atla1278	0.3057155312669468
utoa1244 - atla1278	0.5730617922866751
ural1272 - atla1278	0.7293198731431513
pama1250 - atla1278	0.6036157455026614
aust1307 - sino1245	0.18757192367216471
afro1255 - sino1245	0.2947749107926578
nucl1709 - sino1245	0.20510775417197283
aust1305 - sino1245	0.2232781895390687
otom1299 - sino1245	0.7439462657727738
indo1319 - sino1245	0.3463856773094416
utoa1244 - sino1245	0.4494440787915623
ural1272 - sino1245	0.402553589854416
pama1250 - sino1245	0.3050985663454595
afro1255 - aust1307	0.30591987496943424
nucl1709 - aust1307	0.5764497175785793
aust1305 - aust1307	0.1431445351068802
otom1299 - aust1307	0.4450431178306568
indo1319 - aust1307	0.5621072655881924
utoa1244 - aust1307	0.6064495692920967
ural1272 - aust1307	0.778381617464401
pama1250 - aust1307	0.5196368141057012
nucl1709 - afro1255	0.2769192611630966
aust1305 - afro1255	0.23117305703527585
otom1299 - afro1255	0.2822910365043933
indo1319 - afro1255	0.14159377936012355
utoa1244 - afro1255	0.26797260712301174
ural1272 - afro1255	0.3763211740394212
pama1250 - afro1255	0.2914911263821888
aust1305 - nucl1709	0.3427218053432149
otom1299 - nucl1709	0.3492534049761072
indo1319 - nucl1709	0.3190695257296074
utoa1244 - nucl1709	0.25639428431028677
ural1272 - nucl1709	0.3600832954708362
pama1250 - nucl1709	0.2008822174703159
otom1299 - aust1305	0.3354508550122154
indo1319 - aust1305	0.339056920726431
utoa1244 - aust1305	0.4277910840922103
ural1272 - aust1305	0.4622586349193999
pama1250 - aust1305	0.33892376398951485
indo1319 - otom1299	0.38924361734169965
utoa1244 - otom1299	0.28263269349874537
ural1272 - otom1299	0.4920093996516712
pama1250 - otom1299	0.3510998231422081
utoa1244 - indo1319	0.27731411462682903
ural1272 - indo1319	0.2933336889968942
pama1250 - indo1319	0.3088950582749366
ural1272 - utoa1244	0.3160534090023628
pama1250 - utoa1244	0.22746866134859994
pama1250 - ural1272	0.2859548439137718
