Vars	Value_cfx
sino1245 - atla1278	0.25287135830446533
aust1307 - atla1278	0.23775238406263688
afro1255 - atla1278	0.1614562747333788
aust1305 - atla1278	0.27196256375168293
indo1319 - atla1278	0.3057155312669468
aust1307 - sino1245	0.18757192367216471
afro1255 - sino1245	0.2947749107926578
aust1305 - sino1245	0.2232781895390687
indo1319 - sino1245	0.3463856773094416
afro1255 - aust1307	0.30591987496943424
aust1305 - aust1307	0.1431445351068802
indo1319 - aust1307	0.5621072655881924
aust1305 - afro1255	0.23117305703527585
indo1319 - afro1255	0.14159377936012355
indo1319 - aust1305	0.339056920726431
