Vars	Value_cfx
sino1245 - atla1278	0.25287135830446533
maya1287 - atla1278	1.0041182051797048
aust1307 - atla1278	0.23775238406263688
nilo1247 - atla1278	0.7868680056991731
afro1255 - atla1278	0.1614562747333788
nucl1709 - atla1278	0.4915042603645112
nakh1245 - atla1278	1.061562559072803
aust1305 - atla1278	0.27196256375168293
taik1256 - atla1278	0.8788746954297237
tupi1275 - atla1278	0.8926814840946721
otom1299 - atla1278	0.6319514693784539
drav1251 - atla1278	1.0623771287177146
pano1259 - atla1278	0.9094561416953445
indo1319 - atla1278	0.3057155312669468
nucl1710 - atla1278	1.1320380213767203
algi1248 - atla1278	1.0483340323774397
chib1249 - atla1278	0.9647184800755555
quec1387 - atla1278	1.4705417062456432
atha1245 - atla1278	1.2851501449471348
cent2225 - atla1278	0.3276819506457323
turk1311 - atla1278	1.2406951116248748
sali1255 - atla1278	1.422373220185857
hmon1336 - atla1278	1.0461151896152938
mong1349 - atla1278	1.4146530342958177
gong1255 - atla1278	1.0326852821211687
utoa1244 - atla1278	0.5730617922866751
japo1237 - atla1278	1.6047796814840687
ural1272 - atla1278	0.7293198731431513
pama1250 - atla1278	0.6036157455026614
tung1282 - atla1278	1.485304739912566
cari1283 - atla1278	1.2686291736400899
maya1287 - sino1245	1.19022274330232
aust1307 - sino1245	0.18757192367216471
nilo1247 - sino1245	1.5516418766815754
afro1255 - sino1245	0.2947749107926578
nucl1709 - sino1245	0.20510775417197283
nakh1245 - sino1245	0.6917030720899322
aust1305 - sino1245	0.2232781895390687
taik1256 - sino1245	0.7046363280398187
tupi1275 - sino1245	0.48908984391555704
otom1299 - sino1245	0.7439462657727738
drav1251 - sino1245	0.47392345185830737
pano1259 - sino1245	0.3565609631879474
indo1319 - sino1245	0.3463856773094416
nucl1710 - sino1245	0.593036201751854
algi1248 - sino1245	1.211635295345497
chib1249 - sino1245	0.4756925823999004
quec1387 - sino1245	0.5461086982580893
atha1245 - sino1245	1.0570545802730218
cent2225 - sino1245	0.4851909167523961
turk1311 - sino1245	0.6200281438135196
sali1255 - sino1245	1.5228854896707753
hmon1336 - sino1245	0.5655480744005642
mong1349 - sino1245	0.5115709210306221
gong1255 - sino1245	0.501978364780311
utoa1244 - sino1245	0.4494440787915623
japo1237 - sino1245	0.4677562940294536
ural1272 - sino1245	0.402553589854416
pama1250 - sino1245	0.3050985663454595
tung1282 - sino1245	0.6918939148991553
cari1283 - sino1245	1.053403093277914
aust1307 - maya1287	0.5919468210278622
nilo1247 - maya1287	0.5120333293359476
afro1255 - maya1287	0.4098255084900543
nucl1709 - maya1287	0.5569964402406912
nakh1245 - maya1287	0.7154263582931004
aust1305 - maya1287	0.6237780642735037
taik1256 - maya1287	0.7513208056488564
tupi1275 - maya1287	0.3906437707080594
otom1299 - maya1287	0.20527606542423305
drav1251 - maya1287	0.6382003158275045
pano1259 - maya1287	0.5699368712214885
indo1319 - maya1287	0.6120017122740993
nucl1710 - maya1287	0.4328304907642088
algi1248 - maya1287	0.38554444473061744
chib1249 - maya1287	0.4532284717010804
quec1387 - maya1287	0.683918053351376
atha1245 - maya1287	0.5446945809825051
cent2225 - maya1287	0.36132490428605407
turk1311 - maya1287	0.6615212239181814
sali1255 - maya1287	0.3003908984658562
hmon1336 - maya1287	0.7207131341693708
mong1349 - maya1287	0.7257462317393338
gong1255 - maya1287	0.5256772691825664
utoa1244 - maya1287	0.2954813812697237
japo1237 - maya1287	0.8213644548545947
ural1272 - maya1287	0.6838806794680795
pama1250 - maya1287	0.47918776583625017
tung1282 - maya1287	0.5986684668113214
cari1283 - maya1287	0.5005056352016247
nilo1247 - aust1307	0.77198337688970875
afro1255 - aust1307	0.30591987496943424
nucl1709 - aust1307	0.5764497175785793
nakh1245 - aust1307	1.4769680327535109
aust1305 - aust1307	0.1431445351068802
taik1256 - aust1307	0.39859920395777826
tupi1275 - aust1307	0.71936138003418
otom1299 - aust1307	0.4450431178306568
drav1251 - aust1307	1.2282356892600301
pano1259 - aust1307	0.9226613263102513
indo1319 - aust1307	0.5621072655881924
nucl1710 - aust1307	0.8839397740567044
algi1248 - aust1307	1.1337949547731618
chib1249 - aust1307	1.0209416606735473
quec1387 - aust1307	1.1829723687286766
atha1245 - aust1307	1.6931858356400042
cent2225 - aust1307	0.3417699515448957
turk1311 - aust1307	1.2694029004698493
sali1255 - aust1307	0.8958257616063546
hmon1336 - aust1307	0.6296537043867367
mong1349 - aust1307	1.0148192144657462
gong1255 - aust1307	1.186924475267985
utoa1244 - aust1307	0.6064495692920967
japo1237 - aust1307	1.3145097253147695
ural1272 - aust1307	0.778381617464401
pama1250 - aust1307	0.5196368141057012
tung1282 - aust1307	1.1991260178634437
cari1283 - aust1307	1.0677258510220913
afro1255 - nilo1247	0.3650557612960859
nucl1709 - nilo1247	0.6954623450781132
nakh1245 - nilo1247	0.866939920972938
aust1305 - nilo1247	0.987604209943031
taik1256 - nilo1247	0.6713863477010892
tupi1275 - nilo1247	0.5389612756442763
otom1299 - nilo1247	0.4679263098059465
drav1251 - nilo1247	1.0506125173678948
pano1259 - nilo1247	0.5989422330757462
indo1319 - nilo1247	0.9001737276886035
nucl1710 - nilo1247	0.45374810827453765
algi1248 - nilo1247	0.5164580380940241
chib1249 - nilo1247	0.5333955634863566
quec1387 - nilo1247	0.6408047600202607
atha1245 - nilo1247	0.5999929952514901
cent2225 - nilo1247	0.2972373572430434
turk1311 - nilo1247	0.9879524659529729
sali1255 - nilo1247	0.489498282065287
hmon1336 - nilo1247	0.8343000512845958
