Vars	Value_cfx
Greater Abyssinia - Oceania	0.5552641762601614
S New Guinea - Oceania	0.2626745406816698
Indic - Oceania	0.2740453550482552
N Coast Asia - Oceania	0.7991891074381814
E North America - Oceania	0.6242394108258468
Alaska-Oregon - Oceania	0.47280743178398277
Inner Asia - Oceania	0.4958002129979491
N Australia - Oceania	0.41832182940064855
Europe - Oceania	0.7256539955086794
Basin and Plains - Oceania	0.4476783640571815
Andean - Oceania	0.6094987184760327
Interior New Guinea - Oceania	0.6145303893718119
California - Oceania	0.44486533023804736
N Africa - Oceania	1.145274432534638
S Australia - Oceania	0.5616782079571702
SE South America - Oceania	0.7212656585340578
S New Guinea - Greater Abyssinia	0.163115016624206
Indic - Greater Abyssinia	0.13741686980099505
N Coast Asia - Greater Abyssinia	0.157301010400201
E North America - Greater Abyssinia	0.22377402484978373
Alaska-Oregon - Greater Abyssinia	0.22892462722528437
Inner Asia - Greater Abyssinia	0.1591968752985448
N Australia - Greater Abyssinia	0.2097647028764166
Europe - Greater Abyssinia	0.2354999974057871
Basin and Plains - Greater Abyssinia	0.18244589273284426
Andean - Greater Abyssinia	0.1462742019061992
Interior New Guinea - Greater Abyssinia	0.2189078924891257
California - Greater Abyssinia	0.1570418186109564
N Africa - Greater Abyssinia	0.3784710873871497
S Australia - Greater Abyssinia	0.23106050501994937
SE South America - Greater Abyssinia	0.3069022199320573
Indic - S New Guinea	0.1293444607181214
N Coast Asia - S New Guinea	0.2549577604473063
E North America - S New Guinea	0.1924652435636686
Alaska-Oregon - S New Guinea	0.2842753347014705
Inner Asia - S New Guinea	0.21784814986823012
N Australia - S New Guinea	0.13669158831408543
Europe - S New Guinea	0.3234815020391705
Basin and Plains - S New Guinea	0.16253451795652088
Andean - S New Guinea	0.14944010375732328
Interior New Guinea - S New Guinea	0.09198676870326118
California - S New Guinea	0.1444797999401078
N Africa - S New Guinea	0.6071465327376547
S Australia - S New Guinea	0.22923013531403255
SE South America - S New Guinea	0.2987217941645938
N Coast Asia - Indic	0.1373606529506391
E North America - Indic	0.3840698680355181
Alaska-Oregon - Indic	0.4920021865861463
Inner Asia - Indic	0.11146947380019802
N Australia - Indic	0.3001466251736251
Europe - Indic	0.3849021656952632
Basin and Plains - Indic	0.29415592402253893
Andean - Indic	0.1583661346345834
Interior New Guinea - Indic	0.21788881692551645
California - Indic	0.1927575400707168
N Africa - Indic	1.0661996763176502
S Australia - Indic	0.2789444404099294
SE South America - Indic	0.6307594872993764
E North America - N Coast Asia	0.26121012640086294
Alaska-Oregon - N Coast Asia	0.2744802339194082
Inner Asia - N Coast Asia	0.14142747763278304
N Australia - N Coast Asia	0.2968072874230728
Europe - N Coast Asia	0.4502462544622874
Basin and Plains - N Coast Asia	0.23304978298420215
Andean - N Coast Asia	0.13502331837960896
Interior New Guinea - N Coast Asia	0.23279567702774465
California - N Coast Asia	0.16735862299774962
N Africa - N Coast Asia	0.5460319200536721
S Australia - N Coast Asia	0.228282967457563
SE South America - N Coast Asia	0.3438907968934061
Alaska-Oregon - E North America	0.15471048018973557
Inner Asia - E North America	0.4204665425644016
N Australia - E North America	0.2005412712675177
Europe - E North America	0.4623171046204835
Basin and Plains - E North America	0.057988157160948565
Andean - E North America	0.19989275983924565
Interior New Guinea - E North America	0.2755603486001864
California - E North America	0.13434515535884803
N Africa - E North America	0.4176080025422007
S Australia - E North America	0.28039304670668774
SE South America - E North America	0.1092451499894231
Inner Asia - Alaska-Oregon	0.4400787805975595
N Australia - Alaska-Oregon	0.24265686530178876
Europe - Alaska-Oregon	0.380298997940947
Basin and Plains - Alaska-Oregon	0.09026352700130015
Andean - Alaska-Oregon	0.20360746608949545
Interior New Guinea - Alaska-Oregon	0.3061637086191342
California - Alaska-Oregon	0.1499578016549713
N Africa - Alaska-Oregon	0.26995051407614246
S Australia - Alaska-Oregon	0.25868474199605684
SE South America - Alaska-Oregon	0.18247587358589626
N Australia - Inner Asia	0.31462137116499483
Europe - Inner Asia	0.27834045822413134
Basin and Plains - Inner Asia	0.30383932614198256
Andean - Inner Asia	0.18649184872334
Interior New Guinea - Inner Asia	0.34330843661008564
California - Inner Asia	0.24947814648438427
N Africa - Inner Asia	0.9935752211332379
S Australia - Inner Asia	0.2829595106765597
SE South America - Inner Asia	0.7209598358151295
Europe - N Australia	0.2966240482511337
Basin and Plains - N Australia	0.16956835158491856
Andean - N Australia	0.23574732408471233
Interior New Guinea - N Australia	0.21230590610115976
California - N Australia	0.16105906133447911
N Africa - N Australia	0.36878408202755675
S Australia - N Australia	0.16479073893997243
SE South America - N Australia	0.23127746037512179
Basin and Plains - Europe	0.34947365417621445
Andean - Europe	0.3569920823460533
Interior New Guinea - Europe	0.41500578050608566
California - Europe	0.3890717378973921
N Africa - Europe	0.4897137726153514
S Australia - Europe	0.3991226841401247
SE South America - Europe	0.5828513042362221
Andean - Basin and Plains	0.16364434764624652
Interior New Guinea - Basin and Plains	0.2607400740138745
California - Basin and Plains	0.10684588674670796
N Africa - Basin and Plains	0.40598227857546565
S Australia - Basin and Plains	0.23014171927172186
SE South America - Basin and Plains	0.13759069208646973
Interior New Guinea - Andean	0.17292943738480743
California - Andean	0.10438720995427836
N Africa - Andean	0.49394088876306325
S Australia - Andean	0.2029189988375231
SE South America - Andean	0.2847409763169055
California - Interior New Guinea	0.17617733651978543
N Africa - Interior New Guinea	0.4938652426426232
S Australia - Interior New Guinea	0.22071134370669246
SE South America - Interior New Guinea	0.34282171885294743
N Africa - California	0.3826090056473142
S Australia - California	0.1284170923267271
SE South America - California	0.1836781727928607
S Australia - N Africa	0.465183852638178
SE South America - N Africa	0.28257941817175486
SE South America - S Australia	0.3582681734605104
