Group_Var1	Group_Var2	Cultural Fixation Score	Americas_Var1	Americas_Var2
Andean	African Savannah	0.4691	americas	not americas
Oceania	Greater Mesopotamia	0.4723	not americas	not americas
Alaska-Oregon	Oceania	0.4728	americas	not americas
Southeast Asia	Greater Mesopotamia	0.4752	not americas	not americas
N Africa	Europe	0.4897	not americas	not americas
Greater Abyssinia	Southeast Asia	0.4915	not americas	not americas
Alaska-Oregon	Indic	0.492	americas	not americas
N Africa	Andean	0.4939	not americas	americas
N Africa	Interior New Guinea	0.4939	not americas	not americas
E North America	African Savannah	0.4946	americas	not americas
Inner Asia	Oceania	0.4958	not americas	not americas
Basin and Plains	Southeast Asia	0.5009	americas	not americas
Alaska-Oregon	S Africa	0.5158	americas	not americas
SE South America	S Africa	0.5229	americas	not americas
Alaska-Oregon	African Savannah	0.5272	americas	not americas
Andean	S Africa	0.5312	americas	not americas
N Africa	African Savannah	0.5381	not americas	not americas
Andean	Southeast Asia	0.5383	americas	not americas
N Africa	Mesoamerica	0.5443	not americas	americas
N Africa	N Coast Asia	0.546	not americas	not americas
N Africa	NE South America	0.5522	not americas	americas
S Australia	Southeast Asia	0.5529	not americas	not americas
Greater Abyssinia	Oceania	0.5553	not americas	not americas
S Australia	African Savannah	0.5582	not americas	not americas
S Australia	Oceania	0.5617	not americas	not americas
Interior New Guinea	S Africa	0.5828	not americas	not americas
SE South America	Europe	0.5829	americas	not americas
SE South America	African Savannah	0.5846	americas	not americas
S Australia	S Africa	0.585	not americas	not americas
N Coast Asia	Southeast Asia	0.5859	not americas	not americas
N Africa	S New Guinea	0.6071	not americas	not americas
N Africa	N Coast New Guinea	0.6082	not americas	not americas
Andean	Oceania	0.6095	americas	not americas
Interior New Guinea	Oceania	0.6145	not americas	not americas
E North America	Oceania	0.6242	americas	not americas
SE South America	Indic	0.6308	americas	not americas
N Coast Asia	African Savannah	0.6516	not americas	not americas
N Africa	S Africa	0.6524	not americas	not americas
E North America	Southeast Asia	0.667	americas	not americas
N Coast Asia	S Africa	0.7047	not americas	not americas
SE South America	Inner Asia	0.721	americas	not americas
SE South America	Oceania	0.7213	americas	not americas
Europe	Oceania	0.7257	not americas	not americas
Alaska-Oregon	Southeast Asia	0.7415	americas	not americas
Europe	Southeast Asia	0.7705	not americas	not americas
N Coast Asia	Oceania	0.7992	not americas	not americas
SE South America	Southeast Asia	0.9619	americas	not americas
N Africa	Inner Asia	0.9936	not americas	not americas
N Africa	Indic	1.0662	not americas	not americas
N Africa	Oceania	1.1453	not americas	not americas
N Africa	Southeast Asia	1.6487	not americas	not americas
