lg	prob_lca
484	1.1647051121954734e-25
485	2.463352456764099e-19
486	1.5516712910543435e-26
487	3.878822020578597e-26
488	1.5294364875310831e-29
489	8.41840163516297e-27
490	6.460192002473361e-23
491	3.193425006361513e-23
492	1.3174337892433101e-25
493	9.191995866914336e-24
494	4.3782722752640845e-22
495	3.6926544068525315e-24
496	8.113063680168425e-24
497	2.813315415057078e-22
498	1.755081410784259e-26
499	4.282014542591233e-25
500	1.8664970073447343e-33
501	2.9789218062783467e-24
502	2.974483270784831e-23
503	9.887932483708633e-23
504	3.4984906778344706e-25
505	1.6413395166951646e-28
506	3.0501344316561092e-24
507	2.1250248006826893e-23
508	7.628167832645078e-34
509	6.463812031407802e-33
510	3.3939701777509973e-31
511	6.226957966140733e-23
512	2.1844753193483416e-30
513	6.246649410975118e-25
514	2.198427491370721e-24
515	1.4948187025863342e-26
516	3.4724007077441016e-22
517	4.215717130630509e-25
518	1.1763484767146561e-23
519	6.513301654863742e-32
520	1.3399609336509324e-24
521	6.91378315250577e-22
522	4.3360038471649756e-24
523	6.688493971127733e-25
524	1.7893526614420061e-28
525	6.593938327034921e-28
526	2.5847480880601964e-22
527	1.4720735845589563e-23
528	1.863640289818384e-24
529	1.4944149575025206e-21
530	4.509933250939315e-25
531	1.3136225051349417e-27
532	7.423490962388328e-23
533	2.2894355488426757e-22
534	1.2681797917837335e-22
535	1.1205764200958597e-24
536	2.689292841300974e-25
537	1.1115708395987217e-21
538	1.0448125854455752e-29
539	4.048237798043508e-25
540	3.1367949653896884e-25
541	3.7419365223890546e-29
542	2.266413643062904e-24
543	1.35966957464167e-21
544	2.0160009985215538e-23
545	1.3698426962437755e-29
546	1.435015639698173e-24
547	1.3718266225500412e-22
548	1.9970297962323793e-21
549	6.047314938117519e-23
550	4.913018239469055e-24
551	3.3790935107476537e-23
552	6.526989493448951e-28
553	5.9503697896519924e-27
554	1.5937349806435525e-23
555	2.8775678663072614e-28
556	9.931849026356599e-29
557	4.355976534964559e-25
558	1.2858439015113612e-25
559	2.813315415057078e-22
560	2.2682193824272284e-21
561	5.603308196330989e-26
562	3.5857648419303337e-22
563	4.061970784700106e-26
564	5.63469752939747e-30
565	2.0546591491614385e-25
566	2.7441556243512794e-22
567	1.6685753256395702e-26
568	2.913188164984238e-22
569	1.0000092082207323e-24
570	1.7114910989645908e-23
571	2.015648889674388e-28
572	9.052578661171003e-21
573	2.3970768509459112e-26
574	4.811566341466219e-23
575	1.7326100640852435e-22
576	1.1214024006411597e-25
577	3.7958407631649367e-22
578	4.0629487142700016e-30
579	1.3941091197878367e-23
580	6.767157012081042e-32
581	5.25967080645483e-29
582	1.0154723439409429e-23
583	4.4826695161308e-24
584	7.328667521028466e-27
585	4.4964090749337985e-25
586	7.746059949087844e-22
587	6.974905686724231e-26
588	9.313452470586073e-27
589	8.575617273959637e-20
590	2.0754289818123242e-26
591	4.644931037967302e-23
592	3.126661080929567e-27
593	7.323329819151579e-23
594	6.104359412250212e-26
595	5.541235903012013e-26
596	2.5206842854532576e-27
597	6.406857276822386e-23
598	8.084632816852515e-31
599	1.7239884000622276e-21
600	2.6855419719179377e-25
601	4.591829474004561e-28
602	2.53494183625738e-27
603	1.0722665265304237e-26
604	7.728644402639667e-25
605	1.1439936547477588e-23
606	5.085541477382982e-20
607	1.1052539112901575e-22
608	2.4924264202923744e-25
609	6.084764507578116e-31
610	7.76388203548245e-22
611	4.055177290735775e-29
612	1.415164659291172e-23
613	3.5736247385296984e-21
614	1.37314596461287e-29
615	1.834019920418506e-23
616	1.8759596797403062e-23
617	9.455985991188242e-26
618	3.378757021358302e-26
619	1.8853835966627646e-28
620	9.256019762624603e-23
621	1.223365118076265e-32
622	2.888002361423491e-26
623	2.2649524171439347e-21
624	5.971293821844401e-29
625	2.191968858486992e-23
626	3.0775062578669248e-27
627	1.3539017623589765e-26
628	1.1607598230006391e-29
629	1.3947359725556885e-24
630	1.1760406841714718e-21
631	5.516092440588398e-22
632	5.900631635978785e-32
633	7.054735239212762e-27
634	2.0858475789463643e-30
635	2.016607338514652e-23
636	1.2262320349660487e-28
637	1.1299954508186655e-23
638	2.1107128162790935e-20
639	4.306766458181583e-28
640	1.1103230602221413e-28
641	6.3942628512668365e-25
642	2.835063071033848e-22
643	8.722645407606777e-24
644	5.1046414944343716e-24
645	4.579653547102087e-31
646	4.162408206036725e-28
647	5.455710948507507e-27
648	1.3772059209029064e-33
649	3.248667127820085e-20
650	3.376354366616726e-24
651	1.3202742762297757e-30
652	1.826066811816629e-21
653	4.585748561778125e-24
654	8.147402920935772e-21
655	3.901532306298108e-26
656	1.941381906358224e-24
657	6.563119607629949e-31
658	2.9081615825448714e-23
659	1.6059901871097361e-34
660	1.4094724294427355e-21
661	2.918115457151163e-28
662	2.0818953274701323e-23
663	2.0931733411474412e-32
664	4.420621256316055e-28
665	2.3646317038378498e-31
666	2.5274846076099734e-21
667	5.416055871849011e-20
668	2.142268401237119e-25
669	5.557113473827616e-20
670	7.33430338972779e-22
671	3.9471210645034065e-29
672	4.6394102164889894e-29
673	8.006630904469554e-22
674	1.0541078066550252e-25
675	9.588334216977095e-32
676	2.06932086908567e-21
677	1.7017474985544287e-28
678	1.86661579811801e-22
679	2.7510692638449317e-21
680	8.137122334779144e-29
681	3.0220847088733846e-31
682	8.21265714116898e-22
683	6.280446241265144e-35
684	2.2118838862491903e-25
685	3.0432336080241476e-23
686	1.008604674361045e-27
687	7.797206999585848e-22
688	7.613892247580778e-23
689	5.430416862077969e-26
690	5.3817461776441795e-24
691	2.9421595844886143e-24
692	2.762147599625393e-32
693	2.7090017235543845e-20
694	7.246815730378862e-26
695	2.583462546006158e-27
696	3.7747817587829305e-23
697	8.025487450836241e-23
698	7.308664251242943e-22
699	3.8146467330032117e-22
700	2.582564986479192e-24
701	4.2958615590438506e-33
702	1.765948499719087e-24
703	4.4972908637084285e-29
704	2.989024114919597e-34
705	1.8972998702531445e-22
706	1.97059801406758e-20
707	1.3219120782772695e-27
708	1.6738962015503289e-21
709	5.948227564671958e-32
710	6.026602791893385e-25
711	4.0925807637572347e-22
712	5.747785011971385e-21
713	8.428615460338589e-23
714	6.129789447883477e-27
715	1.4882757168268037e-22
716	9.671429071970443e-34
717	4.650437840532992e-26
718	9.930254649545058e-30
719	6.202591094357357e-22
720	8.132219249627331e-20
721	2.591796744846592e-29
722	2.262498076830863e-28
723	3.030890666697911e-25
724	3.495989032115423e-26
725	1.6296473689533135e-23
726	3.0846614147819875e-22
727	2.7982384194262202e-21
728	1.3871479079701453e-30
729	1.8563075786068697e-25
730	5.557326432560948e-25
731	8.99130990678448e-28
732	8.098967652260771e-32
733	3.3319688184488237e-25
734	6.266329953612767e-26
735	2.908576820975567e-27
736	1.3870728788396265e-28
737	1.0143157193636834e-25
738	1.2151109307133192e-21
739	4.27076163289957e-30
740	2.7844771511462956e-33
741	1.7754734549547912e-33
742	3.584191286874228e-31
743	3.2402603627549425e-24
744	2.6057020250881316e-24
745	1.2018033085397242e-22
746	2.250971653510795e-22
747	1.8532653304959985e-29
748	1.4339472108029644e-24
749	4.7949718022383706e-23
750	1.3055341964089264e-23
751	1.3889258353392916e-23
752	2.3806689538088618e-26
753	3.043004456370715e-28
754	8.680529272911665e-21
755	9.060933630465727e-28
756	1.079003179487551e-28
757	2.1700971454302263e-29
758	2.274047797009014e-22
759	2.264695154955801e-25
760	3.195000157824248e-21
761	1.187266556692946e-20
762	9.987003178868842e-25
763	1.3766803581256257e-24
764	5.731355636581761e-22
765	2.862651955036511e-25
766	9.965746394426705e-23
767	6.47923856205298e-35
768	3.358834087774584e-25
769	5.228312475131043e-32
770	7.151631534045259e-25
771	1.8906852002579156e-21
772	1.949144363731639e-23
773	8.453255924595248e-23
774	1.7415130986088527e-26
775	6.616964658297493e-23
776	2.830147852854283e-26
777	5.885338785508043e-31
778	1.1625071109240208e-21
779	3.366518299918082e-28
780	1.1459490009755895e-22
781	9.8210034558532e-31
782	2.798333351575743e-27
783	1.577886251888626e-23
784	8.936360308237521e-24
785	6.703183720524877e-22
786	1.6900488258977073e-22
787	3.394138438619813e-25
788	3.873259158089315e-23
789	7.058746493528748e-28
790	3.200317675380567e-27
791	1.1363196364961956e-23
792	7.972894133112639e-24
793	2.1144029537612253e-26
794	9.731749441098685e-23
795	2.1426294251688487e-24
796	1.0586781768669439e-22
797	2.829370115125775e-28
798	3.3269486565736653e-25
799	2.4088859100086825e-24
800	1.3854866791409082e-25
801	3.851186269601293e-27
802	3.027014187800363e-23
803	5.512288681150969e-24
804	3.507589515547855e-28
805	6.744912804196938e-26
806	1.173850335598872e-24
807	1.0959408282015743e-23
808	1.693178037620738e-24
809	1.0993717026838794e-22
810	5.760322233582256e-23
811	1.745047006402108e-22
812	3.561513554761914e-31
813	1.4851786133755143e-24
814	7.133809236040934e-27
815	5.195965769208557e-21
816	6.410605283861496e-22
817	2.8233954842209464e-25
818	3.3051066198228986e-22
819	1.90340828388467e-20
820	7.930953670118592e-25
821	2.9849989595642612e-24
822	7.8907534704584e-30
823	1.1176526785020841e-25
824	1.270722449089673e-25
825	1.617676482246185e-24
826	1.2697861327876655e-27
827	5.825594153955517e-23
828	4.347566567661491e-26
829	5.184243144456357e-23
830	7.861206853438327e-35
831	6.949305293759061e-29
832	7.994522472591568e-27
833	1.1836909478861096e-32
834	1.5695080902468582e-28
835	7.121287729226064e-29
836	2.5645196480335154e-20
837	5.488215052922388e-27
838	1.059536892851656e-27
839	1.8847537127223042e-26
840	1.2879743242421694e-21
841	2.719968476492152e-21
842	4.981337780280118e-22
843	8.65891340163e-25
844	1.461075065646963e-27
845	2.0676856042770213e-27
846	5.567480850660728e-25
847	1.1830640890911932e-27
848	5.028287132162377e-22
849	6.4334428207150186e-27
850	1.252435066838811e-21
851	1.7868384485107722e-24
852	7.799923453841477e-26
853	1.1600652065663594e-28
854	8.952471734205802e-33
855	1.1211240445299022e-23
856	2.8052928129375573e-27
857	3.253898612894336e-22
858	1.7094407550211003e-28
859	3.1448490663491903e-25
860	1.8400968143698892e-24
861	1.7547543295049794e-24
862	2.2571724949742016e-23
863	2.6246736966887136e-29
864	3.655735183293818e-21
865	4.4572850790527485e-25
866	2.036342110858884e-28
867	4.580714173760381e-25
868	3.535780197079254e-21
869	6.6669460045404026e-21
870	1.1383281777023224e-35
871	1.3054588944920532e-23
872	2.3242354051102067e-28
873	2.0625568164023098e-23
874	9.410568113258514e-30
875	1.2018526782872084e-21
876	1.596305686663253e-22
877	1.8542219953313655e-24
878	3.513387077163872e-24
879	1.4988958924145593e-27
880	4.648663769825531e-26
881	7.62140046129327e-24
882	6.2649868618573745e-28
883	1.1245056129476354e-27
884	1.8134281766780052e-33
885	5.091047713736176e-25
886	9.864902802916629e-25
887	3.869489925331517e-29
888	1.3094566597708535e-24
889	1.0115428954771144e-26
890	6.89414691672251e-26
891	4.700057426299363e-31
892	6.541921688559259e-31
893	6.352335232418759e-24
894	4.248388907765501e-27
895	5.597024683740912e-26
896	1.0862635805898369e-22
897	3.0641306312555434e-23
898	6.88480163474948e-28
899	3.518004525258586e-24
900	1.5688667701256228e-22
901	2.2288035924866416e-31
902	1.6035409215693717e-31
903	2.008993720155153e-23
904	1.1646926582643822e-28
905	4.7449374020501936e-24
906	4.141429981721467e-24
907	5.677610424855885e-23
908	6.890864579588769e-28
909	2.3555629129236677e-24
910	4.789163022675837e-28
911	3.591552838102838e-26
912	6.878438582509191e-26
913	5.028288396390641e-22
914	2.8145014384296357e-24
915	1.1125843202512515e-22
916	1.941307498363366e-23
917	2.217166160068186e-24
918	3.41444923016294e-23
919	1.5391360657768938e-25
920	1.0794434185249686e-29
921	1.4750315915360842e-36
922	6.618332130345007e-33
923	2.6398693246380272e-23
924	3.5559312031032706e-21
925	1.0342715811896012e-25
926	1.1277073390908214e-25
927	5.939110045156635e-26
928	4.421627197398102e-25
929	6.835532869745969e-23
930	2.0923734325616104e-23
931	4.349593866876814e-30
932	3.1978068665557515e-27
933	3.1194316334499814e-26
934	1.0919092027399632e-37
935	2.192752783939627e-23
936	3.7730545767373615e-23
937	1.9280293773757043e-27
938	8.59035598991497e-34
939	1.3988274059250838e-25
940	3.6830965842311874e-27
941	1.5162812841067629e-25
942	3.8865233136139573e-26
943	4.4648079751624475e-24
944	4.5198809181044345e-23
945	1.4478431519128178e-26
946	1.260007887356477e-24
947	1.0711140452227953e-21
948	1.0224783969955459e-21
949	2.9106605911123976e-25
950	2.1431573479867246e-21
951	3.305550167815209e-21
952	1.2569048043733955e-20
953	1.58754840484759e-25
954	6.837770199745866e-27
955	3.0289232738341363e-24
956	2.379885130488438e-28
957	1.1451845708842657e-27
958	5.536234053854305e-28
959	1.2492377178139995e-30
960	1.624855511169386e-24
961	2.099842933760748e-26
962	8.165516226421616e-31
963	9.327651516028191e-27
964	5.800078875846777e-25
965	1.2237743091656819e-23
966	2.3133519997223117e-22
967	2.753446709306779e-23
968	5.15654771036815e-33
969	1.7345119413515387e-26
970	2.7740511055100215e-30
971	1.1737198496152666e-22
972	3.6162037248680395e-25
973	1.7195423657556774e-23
974	2.263319701159451e-23
975	8.650898750243349e-29
976	1.0697714056337542e-23
977	1.2033006253795399e-26
978	1.785107284135065e-29
979	4.5546697241386715e-21
980	6.173587826195608e-32
981	2.3872242884016986e-22
982	5.102345657586298e-29
983	6.016495524686195e-24
984	4.5878565715092654e-23
985	3.1965008268048783e-26
986	2.6579200016960168e-27
987	9.402279841936267e-24
988	7.03875113081399e-24
989	2.0381735214732376e-25
990	1.4917197514457976e-20
991	1.523759102120851e-23
992	8.893932921769936e-24
993	2.3313850819399897e-22
994	5.366637370045495e-20
995	4.754779498037435e-28
996	9.110973850122097e-26
997	1.4228007515776682e-23
998	1.402733028207904e-28
999	2.0472010885649234e-29
1000	2.0000968510662584e-29
1001	2.6920098857838465e-25
1002	4.994904225030717e-19
1003	7.613089833553879e-32
1004	1.7540681052792153e-27
1005	2.1638158382765213e-27
1006	4.447366359199052e-22
1007	1.0624649648700335e-25
1008	1.2408243719745154e-32
1009	4.129932979101206e-21
1010	2.7034502666743334e-21
1011	6.45094171241517e-33
1012	6.135297367901244e-30
1013	8.368436552315189e-27
1014	2.5641882481964997e-28
1015	7.49579309637115e-34
1016	3.781945286606898e-28
1017	9.315233220624694e-23
1018	1.5405023346362734e-23
1019	4.358871314086541e-24
1020	8.970105535834871e-23
1021	3.824107206467283e-22
1022	2.6212724340668587e-26
1023	5.108416000456421e-32
1024	5.740883581214037e-26
1025	1.2432994738486674e-29
1026	5.3570919289462556e-24
1027	7.197437429951669e-22
1028	4.815843427805006e-31
1029	8.216723217385284e-27
1030	7.663453295867176e-22
1031	1.8660278239852554e-26
1032	6.807117355352985e-25
1033	3.5844153414763974e-23
1034	2.8984106567859783e-27
1035	6.88069411395424e-26
